RtnDate,TotalReturnAmount
1.4109984E9,40000.0
1.4109984E9,210000.0
1.4137632E9,452500.0
1.4176512E9,458000.0
1.418256E9,15000.0
1.4223168E9,54500.0
1.424304E9,546000.0
1.4243904E9,2.0
1.4119488E9,692900.0
1.380672E9,0.0
1.41048E9,0.0
1.4120352E9,6615.0
1.4302656E9,9382.0
1.4322528E9,86900.0
1.4331168E9,1250.0
1.441152E9,32250.0
1.4419296E9,19000.0
1.4488416E9,17600.0
1.45368E9,45493.0
1.412208E9,15000.0
1.4122944E9,26500.0
1.41264E9,21380.0
1.4151456E9,118000.0
1.4157504E9,80600.0
1.4158368E9,55000.0
1.4300928E9,72000.0
1.4319072E9,108500.0
1.4343264E9,168000.0
1.374192E9,0.0
1.3868064E9,0.0
1.3904352E9,0.0
1.4370048E9,25500.0
1.4391648E9,26750.0
1.4406336E9,85500.0
1.4440896E9,14800.0
1.449792E9,61000.0
1.4530752E9,5750.0
